PubChem ID, E(HOMO/PM6) [eV], E(LUMO/PM6) [eV],E(LUMO) – E(HOMO) [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageBeta [A.U.], AverageGamma [A.U.], S1, S2, INDOS-OscStr,nBM,nDB,nAB,nC,nN,nO,nCsp3,nCsp2,nCsp,Fsp3,max_conj_path,nR05,nR06,nR08,nBnz,HOMA,AROM,HOMT,nCs,nCrt,nCbH,nCb-,nCconj,nR=Cs,nR=Ct,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,NaaCH,NsssCH,NdssC,NaasC,NsssN,NtN,NaasN,NaaNH,NsOH,NaaS,DRC(PUHF)
70588177,-8.36896,-1.40759,6.96137,7.067,142.1329,345.7685,20243.88334,2.3598367,5.8696322,0.136883,14,0,14,10,3,0,0,10,0,0,12,0,2,1,2,0.134,0.871,1.872,0,0,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0.290
70616162,-8.00202,-1.14257,6.85945,10.494,141.65351,1771.2962,-33348.70251,2.3129073,7.0673957,0.529852,4,4,0,8,1,1,1,7,0,0.125,6,0,1,0,0,-0.072,0,-0.361,0,0,0,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.395
70616844,-8.60395,-0.85304,7.75091,3.38,184.15493,108.5974,19968.67049,3.1202866,5.3032694,0.34513,8,2,6,14,2,0,3,11,0,0.214,6,1,3,0,1,0.538,0.944,4.842,2,0,4,2,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,0,0,0,0,0,0,0.212
70631747,-8.65091,-1.66263,6.98828,5.041,146.02959,111.1946,17997.47344,1.6298851,8.1218195,0.051263,6,0,6,10,3,0,0,10,0,0,6,0,1,1,1,-0.891,0.862,-5.344,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0.262
71057928,-7.8291,-1.15623,6.67287,1.875,206.17343,367.2173,23719.34957,2.9486469,4.1930149,0.234986,11,0,11,15,1,0,3,12,0,0.2,10,0,3,0,2,-0.141,0.891,-1.548,2,0,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0.387
71147947,-8.23849,-0.72842,7.51007,1.018,179.91458,320.3516,20876.10453,3.4951891,5.2501829,0.183558,8,2,6,14,0,2,2,12,0,0.143,6,0,3,0,1,-0.17,0.887,-1.529,0,2,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,4,0,0,0,0,2,0,0.159
71322261,-6.9198,-0.48518,6.43462,2.195,197.90318,953.9206,-4388.31366,2.9119618,4.8924284,0.560341,5,5,0,13,2,0,3,10,0,0.231,10,1,2,0,0,0.145,0,1.447,1,0,0,0,10,7,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0.215
71328571,-8.77802,-1.84273,6.93529,4.148,185.55445,204.0461,29292.44079,2.9387332,4.9205008,0.232492,11,0,11,13,1,2,2,11,0,0.154,10,0,3,0,1,-0.168,0.874,-1.85,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,5,2,0,2,0,0,0,0,2,0,0.364
71356321,-8.46075,-1.7909,6.66985,6.892,184.48056,272.0404,17644.32259,2.6398536,4.7383763,0.53124,7,7,0,13,0,2,0,13,0,0,14,0,3,0,0,0.043,0,0.651,0,0,0,0,13,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.392
71363474,-9.93962,-3.20537,6.73425,8.542,167.72905,596.4015,28026.14324,2.9798421,5.7350523,0.237618,9,3,6,12,0,4,0,11,1,0,8,1,2,0,1,0.446,0.987,3.572,0,0,4,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,2,0,0,0,0,0,0,0.510
71401547,-8.84773,-1.70713,7.1406,4.305,145.58638,208.7703,15265.46142,2.9883333,5.1651952,0.23279,8,2,6,11,0,1,0,11,0,0,6,0,2,0,1,-0.306,0.889,-2.757,0,0,4,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0.324
71403973,-7.57974,-0.75501,6.82473,2.618,141.88067,753.548,13359.68229,2.7529607,5.2656353,0.186143,7,1,6,10,1,0,1,9,0,0.1,8,0,2,0,1,na,na,na,0,0,4,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0.252
71404880,-8.39371,-1.78724,6.60647,4.652,107.50349,413.2441,24838.91838,2.5483759,5.7578185,0.172186,4,4,0,6,2,2,0,6,0,0,8,0,1,0,0,-1.038,0,-8.305,0,0,0,0,6,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.149
73674759,-9.10822,-2.25442,6.8538,7.001,202.65134,300.2336,43530.58607,2.8482333,5.056356,0.245571,13,2,11,14,1,3,1,13,0,0.071,10,0,3,0,1,-0.127,0.876,-1.4,0,1,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,1,2,2,0,0,0,0,1,0,0.387
